Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
Amar'e Stoudemire,846.0,18.9,7.8,1.2,0.8,1.2,0.537,0.236,0.761,92.5,0.169,6.0,0.0,0.0,0.0,1.0,4.0,0.0,5.0,Yes
Carmelo Anthony,1260.0,22.5,6.2,2.7,1.0,0.5,0.447,0.355,0.814,108.5,0.12,10.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,Yes
Dwight Howard,1242.0,15.7,11.8,1.3,0.9,1.8,0.587,0.214,0.567,141.7,0.172,8.0,4.0,1.0,5.0,5.0,1.0,2.0,8.0,Yes
Dick Barnett,971.0,15.8,2.9,2.8,0.2,0.0,0.456,0.0,0.761,68.7,0.114,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Chauncey Billups,1043.0,15.2,2.9,5.4,1.0,0.2,0.415,0.387,0.894,120.8,0.176,5.0,0.0,2.0,2.0,0.0,1.0,2.0,3.0,Yes
Vince Carter,1541.0,16.7,4.3,3.1,1.0,0.6,0.435,0.371,0.798,125.3,0.13,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,Yes
Michael Cooper,873.0,8.9,3.2,4.2,1.2,0.6,0.469,0.0,0.833,52.5,0.107,0.0,5.0,3.0,8.0,0.0,0.0,0.0,0.0,Yes
Walter Davis,1033.0,18.9,3.0,3.8,1.2,0.1,0.511,0.0,0.851,76.9,0.128,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,Yes
Pau Gasol,1226.0,17.0,9.2,3.2,0.5,1.6,0.507,0.368,0.753,144.1,0.169,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,Yes
Dirk Nowitzki,1522.0,20.7,7.5,2.4,0.8,0.8,0.471,0.38,0.879,206.3,0.193,14.0,0.0,0.0,0.0,4.0,5.0,3.0,12.0,Yes
Tony Parker,1254.0,15.5,2.7,5.6,0.8,0.1,0.491,0.324,0.751,111.3,0.14,6.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,Yes
Dwyane Wade,1054.0,22.0,4.7,5.4,1.5,0.8,0.48,0.293,0.765,120.7,0.162,13.0,0.0,3.0,3.0,2.0,3.0,3.0,8.0,Yes
Manu Ginobili,1057.0,13.3,3.5,3.8,1.3,0.3,0.447,0.369,0.827,106.4,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Tim Hardaway,867.0,17.7,3.3,8.2,1.6,0.1,0.431,0.355,0.782,85.0,0.133,5.0,0.0,0.0,0.0,1.0,3.0,1.0,5.0,Yes
Lou Hudson,890.0,20.2,4.4,2.7,1.4,0.3,0.489,0.0,0.797,81.0,0.131,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Chris Bosh,893.0,19.2,8.5,2.0,0.8,1.0,0.494,0.335,0.799,106.0,0.159,11.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,Yes
Bob Dandridge,839.0,18.5,6.8,3.4,1.3,0.6,0.484,0.0,0.78,80.3,0.131,4.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,Yes
Toni Kukoc,846.0,11.6,4.2,3.7,1.0,0.3,0.447,0.335,0.729,59.6,0.129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes
Paul Pierce,1343.0,19.7,5.6,3.5,1.3,0.6,0.445,0.368,0.806,150.0,0.157,10.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,Yes
