Name,G,PTS,TRB,AST,STL,BLK,FG_PCT,3P_PCT,FT_PCT,WS,WS_PerMin,TotalAllStar,FirstAllD,SecondAllD,TotalAllD,FirstAllNBA,SecondAllNBA,ThirdAllNBA,TotalAllNBA,HoF
LaMarcus Aldridge,1076.0,19.1,8.1,1.9,0.7,1.1,0.493,0.32,0.813,115.6,0.153,7.0,0.0,0.0,0.0,0.0,2.0,3.0,5.0,No
Andre Iguodala,1231.0,11.3,4.9,4.2,1.4,0.5,0.463,0.33,0.709,100.4,0.122,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,No
Paul Millsap,1085.0,13.4,7.1,2.2,1.2,1.0,0.489,0.341,0.736,95.4,0.15,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Marc Gasol,891.0,14.0,7.4,3.4,0.9,1.4,0.481,0.36,0.776,85.3,0.143,3.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,No
Joe Johnson,1277.0,16.0,4.0,3.9,0.8,0.2,0.441,0.371,0.802,82.9,0.09,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Blake Griffin,765.0,19.0,8.0,4.0,0.8,0.5,0.493,0.328,0.696,81.1,0.16,6.0,0.0,0.0,0.0,0.0,3.0,2.0,5.0,No
Serge Ibaka,919.0,12.0,7.1,0.8,0.4,1.9,0.513,0.359,0.757,73.0,0.139,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,No
Thaddeus Young,1172.0,12.1,5.6,1.8,1.4,0.4,0.503,0.328,0.661,71.9,0.105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
George Hill,915.0,10.4,3.0,3.1,0.9,0.3,0.457,0.38,0.806,71.0,0.139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Lou Williams,1123.0,13.9,2.2,3.4,0.8,0.2,0.419,0.351,0.842,65.7,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Danilo Gallinari,777.0,14.9,4.7,1.9,0.7,0.3,0.428,0.381,0.876,65.4,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Trevor Ariza,1118.0,10.4,4.8,2.1,1.5,0.3,0.422,0.351,0.731,64.3,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
JJ Redick,940.0,12.8,2.0,2.0,0.4,0.1,0.447,0.415,0.892,63.7,0.128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Gordon Hayward,835.0,15.2,4.4,3.5,1.0,0.4,0.455,0.37,0.822,63.5,0.119,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Rajon Rondo,957.0,9.8,4.5,7.9,1.6,0.1,0.456,0.324,0.611,61.8,0.104,4.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,No
Rudy Gay,1120.0,15.8,5.6,2.0,1.1,0.7,0.452,0.346,0.799,61.0,0.085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Derrick Favors,790.0,10.6,7.1,1.1,0.7,1.2,0.534,0.198,0.663,60.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Kemba Walker,750.0,19.3,3.8,5.3,1.2,0.4,0.418,0.36,0.84,59.8,0.116,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Goran Dragić,946.0,13.3,3.0,4.7,0.9,0.2,0.459,0.362,0.766,56.7,0.106,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,No
Wesley Matthews,986.0,11.4,2.8,1.9,0.9,0.2,0.419,0.375,0.823,55.5,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Enes Freedom,748.0,11.2,7.8,0.9,0.4,0.5,0.548,0.289,0.777,52.8,0.157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Jeff Teague,826.0,12.2,2.4,5.6,1.1,0.3,0.444,0.36,0.844,52.4,0.113,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Hassan Whiteside,511.0,12.6,10.8,0.6,0.5,2.2,0.586,0.308,0.605,52.0,0.197,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,No
Udonis Haslem,879.0,7.5,6.6,0.8,0.5,0.3,0.489,0.127,0.756,50.9,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
Greg Monroe,646.0,13.0,8.2,2.1,1.1,0.6,0.514,0.059,0.703,50.4,0.137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
